service_id,date,exception_type
"T0","20201224","2"
"T0","20201225","2"
"T0","20201231","2"
"T0","20210101","2"
"T0","20210106","2"
"T0","20210402","2"
"T0","20210405","2"
"T0","20210513","2"
"T0","20210524","2"
"T0","20210603","2"
"T0#1","20201224","2"
"T0#1","20201225","2"
"T0#1","20201231","2"
"T0#1","20210101","2"
"T0#1","20210106","2"
"T0#1","20210402","2"
"T0#1","20210405","2"
"T0#10","20210616","2"
"T0#10","20210617","2"
"T0#10","20210618","2"
"T0#10","20210621","2"
"T0#10","20210622","2"
"T0#10","20210623","2"
"T0#10","20210624","2"
"T0#10","20210625","2"
"T0#10","20210706","2"
"T0#100","20211101","2"
"T0#101","20210823","2"
"T0#101","20210824","2"
"T0#101","20210825","2"
"T0#101","20210826","2"
"T0#101","20210827","2"
"T0#101","20210830","2"
"T0#101","20210831","2"
"T0#101","20210901","2"
"T0#101","20210902","2"
"T0#101","20210903","2"
"T0#101","20211101","2"
"T0#104","20201224","2"
"T0#104","20201225","2"
"T0#104","20201231","2"
"T0#104","20210101","2"
"T0#104","20210106","2"
"T0#108","20210513","2"
"T0#108","20210524","2"
"T0#109","20210603","2"
"T0#112","20201224","2"
"T0#112","20201225","2"
"T0#112","20201231","2"
"T0#112","20210101","2"
"T0#112","20210106","2"
"T0#113","20210412","2"
"T0#113","20210413","2"
"T0#113","20210414","2"
"T0#113","20210415","2"
"T0#113","20210416","2"
"T0#113","20210513","2"
"T0#113","20210524","2"
"T0#120","20210616","2"
"T0#120","20210617","2"
"T0#120","20210618","2"
"T0#120","20210621","2"
"T0#120","20210622","2"
"T0#120","20210623","2"
"T0#120","20210624","2"
"T0#120","20210625","2"
"T0#120","20210628","2"
"T0#120","20210629","2"
"T0#120","20210630","2"
"T0#120","20210701","2"
"T0#120","20210702","2"
"T0#120","20210705","2"
"T0#120","20210706","2"
"T0#120","20210707","2"
"T0#120","20210708","2"
"T0#120","20210709","2"
"T0#126","20211101","2"
"T0#128","20211101","2"
"T0#129","20210616","2"
"T0#129","20210617","2"
"T0#129","20210618","2"
"T0#129","20210621","2"
"T0#129","20210622","2"
"T0#129","20210623","2"
"T0#129","20210624","2"
"T0#129","20210625","2"
"T0#129","20210628","2"
"T0#129","20210629","2"
"T0#129","20210630","2"
"T0#129","20210701","2"
"T0#129","20210702","2"
"T0#129","20210705","2"
"T0#129","20210706","2"
"T0#129","20210707","2"
"T0#129","20210708","2"
"T0#129","20210709","2"
"T0#129","20210712","2"
"T0#129","20210713","2"
"T0#129","20210714","2"
"T0#129","20210715","2"
"T0#129","20210716","2"
"T0#129","20210719","2"
"T0#129","20210720","2"
"T0#129","20210721","2"
"T0#129","20210722","2"
